type,n,msecs,kbytes
lines,500,106,1272.178
lines,500,180,1272.178
lines,500,144,1272.178
lines,1000,224,1692.111
lines,1000,184,1692.111
lines,1000,269,1692.111
lines,1000,184,1692.111
lines,1000,168,1692.111
lines,1000,139,1692.111
lines,1000,164,1692.111
lines,1000,159,1692.111
lines,1000,176,1692.111
lines,1000,148,1692.111
lines,5000,440,4938.301
lines,5000,563,4938.301
lines,5000,507,4938.301
lines,5000,402,4938.301
lines,5000,354,4938.301
lines,5000,293,4938.301
lines,5000,614,4938.301
lines,5000,440,4938.301
lines,5000,410,4938.301
lines,5000,421,4938.301
lines,10000,479,6564.675
lines,10000,684,6564.675
lines,10000,928,6564.675
lines,10000,879,6564.675
lines,10000,747,6564.675
lines,10000,598,6564.675
lines,10000,419,6564.675
lines,10000,420,6564.675
lines,10000,417,6564.675
lines,10000,411,6564.675
lines,50000,2530,7558.751
lines,50000,3418,7558.751
lines,50000,3422,7558.751
lines,50000,3455,7558.751
lines,50000,2789,7558.751
lines,50000,1886,7558.751
lines,50000,1839,7558.751
lines,50000,1938,7558.751
lines,50000,3279,7558.751
lines,50000,1843,7558.751
lines,100000,4603,13788.606
lines,100000,5439,13788.606
lines,100000,3689,13788.606
lines,100000,5210,13788.606
lines,100000,3635,13788.606
lines,100000,5151,13788.606
lines,100000,3627,13788.606
lines,100000,5037,13788.606
lines,100000,5608,13788.606
lines,100000,4902,13788.606
lines,500000,13928,64788.693
lines,500000,23379,64788.693
lines,500000,20876,64788.693
lines,500000,20654,64788.693
lines,500000,20648,64788.693
lines,500000,20978,64788.693
lines,500000,22577,64788.693
lines,500000,22467,64788.693
lines,500000,19372,64788.693
lines,500000,19265,64788.693
rects,100,119,1196.394
rects,100,114,1196.394
rects,100,153,1196.394
rects,100,124,1196.394
rects,100,92,1196.394
rects,100,97,1196.394
rects,100,83,1196.394
rects,100,100,1196.394
rects,100,62,1196.394
rects,100,106,1196.394
rects,500,151,1250.898
rects,500,148,1250.898
rects,500,234,1250.898
rects,500,207,1250.898
rects,500,120,1250.898
rects,500,99,1250.898
rects,500,120,1250.898
rects,500,117,1250.898
rects,500,115,1250.898
rects,500,111,1250.898
rects,1000,171,1646.611
rects,1000,276,1646.611
rects,1000,307,1646.611
rects,1000,180,1646.611
rects,1000,132,1646.611
rects,1000,125,1646.611
rects,1000,132,1646.611
rects,1000,123,1646.611
rects,1000,123,1646.611
rects,1000,182,1646.611
rects,5000,387,4853.801
rects,5000,952,4853.801
rects,5000,585,4853.801
rects,5000,590,4853.801
rects,5000,556,4853.801
rects,5000,560,4853.801
rects,5000,488,4853.801
rects,5000,501,4853.801
rects,5000,500,4853.801
rects,5000,507,4853.801
rects,10000,383,4920.279
rects,10000,1182,4920.279
rects,10000,1038,4920.279
rects,10000,1011,4920.279
rects,10000,558,4920.279
rects,10000,575,4920.279
rects,10000,556,4920.279
rects,10000,862,4920.279
rects,10000,930,4920.279
rects,10000,988,4920.279
rects,50000,1960,7108.42
