type,n,msecs,kbytes
lines,5000,1190,371.7353515625
lines,10000,1736,691.2744140625
lines,10000,2400,691.3837890625
lines,10000,2390,691.4306640625
lines,10000,2393,691.4775390625
lines,10000,2394,691.5244140625
lines,10000,2398,691.5712890625
lines,10000,2396,691.6181640625
lines,10000,2398,691.6650390625
lines,10000,2400,691.7119140625
lines,10000,2400,691.7587890625
lines,50000,10880,2615.9697265625
lines,50000,11888,2616.0810546875
lines,50000,11897,2616.1298828125
lines,50000,11922,2616.1787109375
lines,50000,11884,2616.2275390625
lines,50000,11853,2616.2763671875
lines,50000,11897,2616.3251953125
lines,50000,11893,2616.3740234375
lines,50000,11878,2616.4228515625
lines,50000,11844,2616.4716796875
lines,100000,22337,5176.5009765625
lines,100000,23734,5176.61328125
lines,100000,23589,5176.6611328125
lines,100000,23697,5176.7109375
lines,100000,23653,5176.7578125
lines,100000,23675,5176.8046875
lines,100000,23816,5176.8515625
lines,100000,23572,5176.8984375
lines,100000,23792,5176.9453125
lines,100000,20947,5176.9921875
lines,500000,113716,20536.500976563
lines,500000,119112,20536.614257813
lines,500000,120748,20536.665039063
lines,500000,120811,20536.715820313
lines,500000,117680,20536.766601563
lines,500000,115947,20536.817382813
lines,500000,115821,20536.868164063
lines,500000,115877,20536.918945313
lines,500000,113774,20536.969726563
lines,500000,112449,20537.020507813
rects,100,18,55.8955078125
rects,100,18,56
rects,100,21,56.03125
rects,100,21,56.068359375
rects,100,22,56.109375
rects,100,21,56.1474609375
rects,100,22,56.189453125
rects,100,21,56.23046875
rects,100,21,56.2705078125
rects,100,21,56.3125
rects,500,87,70.8955078125
rects,500,93,71
rects,500,96,71.03125
rects,500,96,71.068359375
rects,500,131,71.109375
rects,500,163,71.1484375
rects,500,163,71.1884765625
rects,500,162,71.2314453125
rects,500,164,71.2744140625
rects,500,162,71.3173828125
rects,1000,307,90.8955078125
rects,1000,319,91.001953125
rects,1000,324,91.044921875
rects,1000,323,91.087890625
rects,1000,323,91.130859375
rects,1000,323,91.173828125
rects,1000,323,91.216796875
rects,1000,324,91.259765625
rects,1000,323,91.302734375
rects,1000,323,91.345703125
rects,5000,1540,370.8955078125
rects,5000,1612,371.00390625
rects,5000,1621,371.0478515625
rects,5000,1628,371.09375
rects,5000,1624,371.134765625
rects,5000,1626,371.1796875
rects,5000,1623,371.22265625
rects,5000,1625,371.2666015625
rects,5000,1622,371.3125
rects,5000,1626,371.3525390625
rects,10000,2557,690.8955078125
rects,10000,3219,691.0048828125
rects,10000,3239,691.0517578125
rects,10000,3229,691.0986328125
rects,10000,3228,691.1455078125
rects,10000,3227,691.1923828125
rects,10000,3231,691.2392578125
rects,10000,3226,691.2861328125
rects,10000,3226,691.3330078125
rects,10000,3226,691.3798828125
rects,50000,14874,2613.2080078125
rects,50000,16094,2613.3193359375
rects,50000,16097,2613.3681640625
rects,50000,16107,2613.4169921875
rects,50000,16084,2613.4658203125
rects,50000,16090,2613.5146484375
rects,50000,16103,2613.5634765625
rects,50000,16100,2613.6123046875
rects,50000,16105,2613.6611328125
rects,50000,16089,2613.7099609375
rects,100000,30483,5173.7392578125
rects,100000,32368,5173.8515625
rects,100000,32401,5173.8984375
rects,100000,32373,5173.9453125
rects,100000,32385,5173.9921875
rects,100000,33649,5174.0390625
rects,100000,34077,5174.0859375
rects,100000,34007,5174.1328125
rects,100000,33998,5174.1796875
rects,100000,34027,5174.2265625
rects,500000,161004,20533.739257813
rects,500000,168835,20533.852539063
rects,500000,165264,20533.903320313
rects,500000,159656,20533.954101563
rects,500000,160404,20534.004882813
rects,500000,160921,20534.055664063
rects,500000,160939,20534.106445313
rects,500000,161132,20534.157226563
rects,500000,161694,20534.208007813
rects,500000,161538,20534.258789063
shapes,100,3,57.404296875
shapes,100,2,57.5078125
shapes,100,3,57.546875
shapes,100,32,57.5849609375
shapes,100,16,57.6279296875
shapes,100,17,57.6708984375
shapes,100,17,57.7138671875
shapes,100,16,57.7568359375
shapes,100,17,57.7998046875
shapes,100,17,57.8427734375
shapes,500,9,72.404296875
shapes,500,10,72.5078125
shapes,500,12,72.5478515625
shapes,500,24,72.5908203125
shapes,500,17,72.6337890625
shapes,500,17,72.6767578125
shapes,500,16,72.7197265625
shapes,500,17,72.7626953125
shapes,500,17,72.8056640625
shapes,500,16,72.8486328125
shapes,1000,18,92.404296875
shapes,1000,20,92.509765625
shapes,1000,20,92.552734375
shapes,1000,29,92.595703125
shapes,1000,22,92.638671875
shapes,1000,23,92.681640625
shapes,1000,22,92.724609375
shapes,1000,23,92.767578125
shapes,1000,28,92.810546875
shapes,1000,35,92.853515625
shapes,5000,124,372.404296875
shapes,5000,105,372.51171875
shapes,5000,110,372.5556640625
shapes,5000,111,372.6015625
shapes,5000,111,372.64453125
shapes,5000,112,372.6884765625
